year,fuel_consumption,vehicle_miles
1958,121940,1707.2
1959,131528,1841.4
1960,142117,1989.6
1961,147404,2063.7
1962,153061,2142.9
1963,156588,2192.3
1964,165479,2316.7
1965,174982,2449.8
1966,183255,2565.6
1967,194368,2721.1
1968,209597,2934.4
1969,225917,3162.8
1970,243482,3408.9
1971,261476,3660.7
1972,268407,3757.7
1973,289847,4057.9
1974,279996,3919.9
1975,296160,4146.2
1976,308151,4314.1
1977,324449,4542.3
1978,338440,4738.2
1979,339989,4759.9
1980,330734,5570
1981,319588,5855.7
1982,323827,6048.3
1983,327769,(NA)   
1984,339491,6486.3
1985,345672,6761.5
1986,357716,6970.7
1987,367984,7217.2
1988,378988,7400.8
1989,395945,7748.1
1990,395185,8065.4
1991,406819,8142.2
1992,405963,8065.5
1993,409940,7945.3
1994,428558,7925.2
1995,422884,7944.1
1996,426370,8005.9
1997,421499,8003
1998,422928,8090.2
1999,417374,8215.2
2000,428425,8525.7
2001,445558,8754.3
2002,477518,8937.3
2003,483232,9325
2004,498816,9734.6
2005,505418,10129.1
2006,531505,10196.3
2007,541956,10259.9
2008,540910,10189.1
2009,545413,10095.2
2010,500987,10111
2011,546247,10653.9
2012,520544,11517.7
2013,523856,12078.2
